id,original_title,overview,popularity,title,vote_average,title_sentiment,overview_sentiment,title_length,num_words_in_title,average_title_word_length,has_made_up_word,made_up_word_count
942,Lethal Weapon 2,"In the opening chase, Martin Riggs and Roger Murtaugh stumble across a trunk full of Krugerrands. They follow the trail to a South African diplomat who's using his immunity to conceal a smuggling operation. When he plants a bomb under Murtaugh's toilet, the action explodes!",33.548,Lethal Weapon 2,7.008,-0.296,-0.7644,15.0,3.0,4.333333333333333,False,0.0
699,For Your Eyes Only,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,27.047,For Your Eyes Only,6.521,0.0,-0.5423,18.0,4.0,3.75,False,0.0
444149,Hellraiser: Judgment,"Three detectives trying to stop a diabolical serial killer are sucked into a maze of otherworldly horror, where hellish denizens including the Auditor, the Assessor, and the Jury await to pass judgment.",34.303,Hellraiser: Judgment,5.1,0.0,-0.9517,20.0,2.0,9.5,True,1.0
975,Paths of Glory,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,28.297,Paths of Glory,8.271,0.5423,-0.8271,14.0,3.0,4.0,False,0.0
68730,Silence,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",49.421,Silence,7.1,0.0,-0.4588,7.0,1.0,7.0,False,0.0
419743,Disobedience,"A woman learns about the death of her Orthodox Jewish father, a rabbi. She returns home and has romantic feelings rekindled for her best childhood friend, who is now married to her cousin.",38.051,Disobedience,6.907,0.0,0.7351,12.0,1.0,12.0,False,0.0
943,Lethal Weapon 3,"Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",31.043,Lethal Weapon 3,6.703,-0.296,0.25,15.0,3.0,4.333333333333333,False,0.0
16996,17 Again,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",30.794,17 Again,6.298,0.0,0.6027,8.0,2.0,3.5,False,0.0
27022,The Sorcerer's Apprentice,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",36.04,The Sorcerer's Apprentice,6.117,0.0,-0.7319,25.0,3.0,7.666666666666667,False,0.0
427564,Scooby-Doo! Shaggy's Showdown,"When the Scooby gang visits a dude ranch, they discover that it and the nearby town have been haunted by a ghostly cowboy, Dapper Jack, who fires real fire from his fire irons. The mystery only deepens when it’s discovered that the ghost is also the long lost relative of Shaggy Rogers!",24.042,Scooby-Doo! Shaggy's Showdown,7.9,0.0,-0.8955,29.0,3.0,9.0,True,2.0
157386,The Spectacular Now,"Sutter, a popular party animal, unexpectedly meets the introverted Aimee after waking up on a stranger's lawn. As Sutter deals with the problems in his life and Aimee plans for her future beyond school, an unexpected romance blossoms between them.",49.323,The Spectacular Now,6.646,0.0,0.7506,19.0,3.0,5.666666666666667,False,0.0
415842,American Assassin,"Following the murder of his fiancée, Mitch Rapp trains under the instruction of Cold War veteran Stan Hurley. The pair then is enlisted to investigate a wave of apparently random attacks on military and civilian targets.",27.789,American Assassin,6.392,0.0,-0.91,17.0,2.0,8.0,False,0.0
